Current Rank,Last Rank,Age,Academic score,Employer score,Faculty Student score,CitationsPerFaculty score,InternationalFaculty score,InternationalStudent score,Overall Score,color
  355 ,  373 ,4,19.1,15,32.2,28.8,97.7,88.4,30.7,blue
  355 ,  305 ,5,37.7,27.6,15.1,38.2,9,33.6,30.7,blue
  359 ,  331 ,4,36.2,41.7,43.9,3.2,42.1,2.6,30.4,blue
  359 ,  346 ,4,16.3,10.1,7.1,70.5,91.3,54.9,30.4,blue
361,311,4,53,18.9,22.5,10.4,7.1,3,30.3,blue
362,  398 ,4,9.7,13.2,93.6,18.7,28.5,20,30.2,blue
  363 ,  259 ,5,27,28.1,32.6,28.4,68.1,15.6,30.1,blue
  363 ,  361 ,3,27.8,59.3,14.8,15.1,60.5,79.3,30.1,blue
  363 ,550,5,11.4,15.3,73.3,16.9,65.9,52.1,30.1,blue
366,380,3,9,17.9,76.1,32.6,38.7,17.6,30.0,blue
  367 ,  331 ,3,17.3,41.4,88,1.8,5.7,9.8,29.9,blue
  367 ,  386 ,5,16.6,12.2,82.2,19.3,18.4,15.7,29.9,blue
  369 ,  367 ,3,13.5,9.9,15.6,54.9,93.1,90,29.7,blue
  369 ,  364 ,4,16.2,44.7,86.9,1.2,,20.6,29.7,blue
  369 ,  367 ,4,13.3,2.9,91.9,9.2,59.9,15.5,29.7,blue
372,410,4,22.8,21,5.1,68.4,38.5,33,29.6,blue
  373 ,  386 ,5,9.2,20.1,89.1,3.3,20.5,81.7,29.4,blue
  373 ,430,5,16.7,7.4,23.1,60.5,69.5,33.3,29.4,blue
375,372,5,9.9,73.5,7.7,33.4,100,94.6,29.3,blue
  376 ,420,2,16.8,43.1,25.6,14.7,100,100,29.2,blue
  376 ,  339 ,5,23.4,29.4,31.6,29.1,73.1,20.7,29.2,blue
  376 ,420,4,16.1,14.1,61.3,34.2,33.4,9.5,29.2,blue
  376 ,384,4,18.2,18.2,42.4,29.7,75.9,36.2,29.2,blue
380,  334 ,4,35.1,23.3,49.6,8.5,15.1,5.5,29.1,blue
  381 ,  373 ,4,11.1,48.5,12.1,44.3,95.5,70.9,29.0,blue
  381 ,440,5,13.5,21.6,16.8,89.5,,2.6,29.0,blue
  381 ,  364 ,5,25.1,38.1,14.4,35.9,87.1,12.7,29.0,blue
  384 ,337,4,8.9,27.9,91.1,1.1,7.2,71.3,28.8,blue
  384 ,  323 ,4,18.2,22.8,16.8,61.4,60.6,10,28.8,blue
  384 ,  367 ,5,30.9,49.6,54.3,2.1,1.9,1.5,28.8,blue
  387 ,397,4,12.6,22.1,84,2.1,42.9,40.8,28.7,blue
  387 ,307,5,29.4,53.3,5.7,43.3,2.7,32.2,28.7,blue
  387 ,430,3,12.6,23.3,17.4,42.5,98.7,87.6,28.7,blue
  387 ,420,5,6.5,6.8,100,19.6,7.9,19.7,28.7,blue
  391 ,410,4,37.4,36,38.5,1.5,36.5,2.6,28.6,blue
  391 ,  319 ,5,17.7,27.3,21.8,48.2,33,61.8,28.6,blue
  391 ,410,5,28.5,19.5,23.9,32.1,68.4,12,28.6,blue
  394 ,336,2,13.2,21.4,96.1,1.4,24.5,5,28.5,blue
  394 ,420,5,36.8,35,38.4,6.9,9.1,13.4,28.5,blue
396,  398 ,5,21.2,8.2,23.5,25.8,84.7,95.8,28.3,blue
  397 ,1000,5,13.3,21,80.3,10.4,20.4,30.6,28.2,blue
  397 ,360,4,18.5,27.9,8.6,32.8,98.5,95.3,28.2,blue
  397 ,1000,2,5.8,7.3,91.9,33.2,,1.1,28.2,blue
  397 ,385,4,23.1,10.4,43.3,23.1,60.7,31.1,28.2,blue
  397 ,394,5,8.3,6.8,100,15.8,5.4,13,28.2,blue
  402 ,378,5,21.4,19.1,32.9,29.8,70.9,29.5,28.1,blue
  402 ,  388 ,3,23.4,17.9,30.6,46.9,18.4,8.6,28.1,blue
404,410,5,9.9,14.7,87.8,2.7,17.1,69.9,28.0,blue
  405 ,  361 ,5,25.6,28.9,5.1,50.4,57.9,13.2,27.9,blue
  405 ,  361 ,3,27.7,31.1,30.1,22.9,26.1,35,27.9,blue
  407 ,  352 ,3,16.8,13.4,20.3,52.7,72.6,26.5,27.7,blue
  407 ,  398 ,5,20.3,16,53.8,20.4,38,23.2,27.7,blue
  407 ,410,5,9.3,37.5,95.6,1.1,14.7,1.6,27.7,blue
  407 ,410,5,29.3,14.6,22.9,33.1,11.3,53,27.7,blue
411,470,5,30.7,27.5,52.6,6.2,4.8,10.4,27.6,blue
  412 ,460,5,10.6,5.6,83.6,18.6,20.7,23.1,27.5,blue
  412 ,470,5,22.2,15.9,69.1,12.7,4.3,6.7,27.5,blue
  412 ,500,4,14.7,14.7,88.5,1.9,14.3,25.7,27.5,blue
  415 ,480,4,19.8,21.9,17.9,62.7,13.1,7.9,27.4,blue
  415 ,  391 ,4,22.2,15.4,34.8,38.8,21.6,21.5,27.4,blue
  417 ,440,3,15.9,41.9,73.9,7.8,3.5,4,27.3,blue
  417 ,410,4,11.1,12.2,24,50.6,75.5,57.3,27.3,blue
419,460,5,13.2,18.7,22.8,74.1,6.2,5,27.2,blue
  420 ,  395 ,4,22.2,28.5,47.2,5.3,91.4,4.9,27.1,blue
  420 ,440,3,9.5,9.8,76.8,1.1,37.5,95.9,27.1,blue
  422 ,  391 ,3,14.7,30.7,42.9,15.7,70.6,53.8,27.0,blue
  422 ,430,2,25.9,8.7,51.6,16,38.2,4.5,27.0,blue
  422 ,430,5,39,20.6,11.1,32,8,5.8,27.0,blue
  422 ,381,5,22.2,27.1,11.8,50.8,13.1,43.1,27.0,blue
  426 ,  395 ,5,18,8,22.6,41.5,19.2,100,26.9,blue
  426 ,450,4,24.4,14.2,16.4,50.1,37.3,9.1,26.9,blue
  426 ,430,3,15.9,13.4,9.1,60.4,28.8,75.7,26.9,blue
  429 ,420,4,12.1,20.6,31.8,41.7,20.2,82.8,26.8,blue
  429 ,490,3,4.1,5.1,72.5,47,4.9,9.5,26.8,blue
431,430,5,24.7,18.1,22.4,32.9,66.2,11.9,26.7,blue
  432 ,490,5,10.7,6.6,33.8,45,66.5,48.3,26.5,blue
  432 ,480,5,10.1,11,85.2,8.3,16.1,35.6,26.5,blue
  432 ,480,4,11.3,16.5,13.4,86.7,1.9,1.9,26.5,blue
  435 ,450,5,8.3,7.7,14.5,65.7,57.2,67.1,26.4,blue
  435 ,450,4,18.9,40.1,51.2,15.5,13.6,15.4,26.4,blue
  435 ,440,4,12.2,14.8,34.2,30.6,74.8,65.4,26.4,blue
  435 ,430,5,22.7,8.5,36.2,38.4,9.7,20.4,26.4,blue
  439 ,450,5,17.2,9.3,77.1,2.8,6.9,39,26.2,blue
  439 ,430,5,12.8,9.9,12.4,71.6,39.7,24.9,26.2,blue
  439 ,470,5,10.5,4.9,76.9,20.2,19.7,20.5,26.2,blue
442,1000,3,6.8,9.3,77.9,4.3,98.8,20,26.1,blue
  443 ,440,3,3,9.9,51.4,18.2,98.8,97.7,26.0,blue
  443 ,480,5,17.2,6.2,26.2,62,10.3,5.5,26.0,blue
  443 ,550,3,10.9,6.2,21.2,34.6,100,96.7,26.0,blue
  446 ,410,5,19.4,41.1,8.9,59.9,,4.7,25.9,blue
  446 ,550,4,10.1,16.1,75.7,1.3,5.6,90.3,25.9,blue
  448 ,480,2,6.2,3.6,81.9,1.5,100,23.9,25.8,blue
  448 ,440,3,16.3,34.7,47,18.8,44.2,6.7,25.8,blue
  450 ,490,5,18.8,22,40,28.2,34.5,10,25.7,blue
  450 ,450,5,17.5,6.5,31.1,36.9,62.5,25.4,25.7,blue
  450 ,460,3,9.5,13,65.4,11,100,4.8,25.7,blue
  453 ,440,5,17.6,7.5,56.1,25.2,17.3,12.3,25.6,blue
  453 ,420,5,34.7,8,15.3,25,25.6,29.3,25.6,blue
  453 ,490,4,11.4,5.1,19,76.5,13,13.7,25.6,blue
  456 ,430,3,20.5,38.8,21.4,24.8,66.4,15.8,25.5,blue
  456 ,430,5,21.5,63.9,34.6,4.4,25.2,26.8,25.5,blue
  456 ,480,4,11,29,40.2,27.3,71.5,21.5,25.5,blue
  456 ,550,5,4.9,2.5,96.9,17.4,3.9,4.1,25.5,blue
460,550,5,6.3,3.5,99.6,11,5.2,2.6,25.4,blue
  461 ,550,5,5,2.7,36,54.7,17.9,79.5,25.3,blue
  461 ,550,4,10.4,6.9,37.1,32.9,63.7,63.9,25.3,blue
  461 ,460,5,10.7,10.1,32,34.5,75.4,56.5,25.3,blue
  464 ,450,2,17.5,25.4,17.5,10.6,99.6,99.9,25.2,blue
  464 ,460,4,21.2,7.6,32,44.1,6,8.1,25.2,blue
  464 ,550,5,13,5.6,77.3,15.5,9.3,6.3,25.2,blue
  464 ,440,3,14.4,38.2,6.8,28.1,83.3,87.8,25.2,blue
  464 ,420,4,11.9,24.8,87.3,1.2,1.6,2.1,25.2,blue
  464 ,550,4,12.4,6.5,84.6,11,7,2,25.2,blue
  470 ,500,3,28.7,51.9,21.4,11.6,3.3,32.6,25.1,blue
  470 ,550,5,16.8,13,60.1,6.6,15.6,57.4,25.1,blue
  472 ,440,5,25.8,31.1,12.4,40.3,12.2,6.5,25.0,blue
  472 ,550,2,13,14.1,26.4,64.6,1.8,1.6,25.0,blue
  472 ,490,5,28.9,17.4,5.8,51.8,3.1,,25.0,blue
475,500,4,18,12,52.3,23.3,20.6,3.3,24.8,blue
  476 ,550,4,8.9,17.9,75.1,5.2,8.7,54.9,24.7,blue
  476 ,440,4,24,5.6,28.8,40.4,8.4,5,24.7,blue
  478 ,600,4,13.7,10.2,13.4,39.6,74.2,74.8,24.6,blue
  478 ,460,4,9.5,35.6,47.7,8.1,34.7,86.1,24.6,blue
480,550,4,8,8.5,92.6,1,21,12.6,24.5,blue
  481 ,500,4,7.4,8.6,87.7,1.1,37.4,16.8,24.4,blue
  481 ,1000,3,6.5,31,58.6,3,50.3,75.4,24.4,blue
  481 ,600,3,13.4,19.7,47.1,11.3,25.9,80.9,24.4,blue
  481 ,460,3,15.4,7.2,42.9,35.4,26.3,10.4,24.4,blue
  481 ,410,5,12.5,8.2,70.7,1.8,1.5,79.4,24.4,blue
  481 ,450,4,21.5,33.7,14.4,21,34.8,70.8,24.4,blue
487,490,4,34,48.5,11,15.4,6.4,2,24.2,blue
488,410,5,16.9,31.8,60.2,6.1,11.7,6,24.1,blue
  489 ,480,5,20.8,11.4,18.8,39.9,32.5,21.9,24.0,blue
  489 ,550,5,33.6,5.2,22.7,7.8,43.3,34.4,24.0,blue
  491 ,600,4,16.1,8.7,29.1,48.9,10.6,7,23.9,blue
  491 ,500,3,28.8,15.3,38.2,12.9,6.8,5.1,23.9,blue
  491 ,490,4,23.2,50.2,17.7,18.9,21.1,24.1,23.9,blue
494,470,5,15.6,11.3,10.4,67.3,9.9,6.2,23.8,blue
  495 ,550,5,34.9,14,12.8,21.4,5.1,23.7,23.7,blue
  495 ,550,5,8.2,11.2,7.8,74.4,24.3,31.5,23.7,blue
  495 ,550,5,10.7,13,61,17.6,37.1,10.6,23.7,blue
  498 ,550,4,4.9,9.8,8.6,92.7,4.2,2.5,23.6,blue
  498 ,600,3,15.9,26.4,9.9,25.9,100,47.8,23.6,blue
  500 ,450,2,12.7,29,13.8,21.2,100,69.4,23.5,blue
  500 ,550,5,9.5,26.9,66.4,10.3,,33.1,23.5,blue
  500 ,500,5,7.7,26.9,68.1,2.3,62.2,10.2,23.5,blue
  500 ,600,4,18.2,6,18.9,56.3,5,4.6,23.5,blue
510,550,5,0,0,43,27.9,41.9,48.4,23.4,blue
510,550,4,0,0,36.2,27.2,49.9,44.7,23.4,blue
510,600,5,0,0,88.6,0,0,0,23.4,blue
510,550,5,0,0,37.9,45.2,0,47,23.4,blue
510,600,5,0,0,99.4,0,0,14.9,23.4,blue
510,500,4,19.8,0,42.2,21.1,0,0,23.4,blue
510,470,2,0,23.6,38.6,21.1,39.5,17.1,23.4,blue
510,420,4,27.4,36.4,41.5,0,,0,23.4,blue
510,470,4,32.7,0,0,30,0,0,23.4,blue
510,600,3,0,0,71.9,30.6,0,0,23.4,blue
520,650,5,0,0,74.2,0,17.2,36.9,23.0,blue
520,600,4,0,0,82.5,0,0,0,23.0,blue
520,550,5,0,0,74.9,0,0,0,23.0,blue
520,550,5,0,0,33.9,50.1,0,0,23.0,blue
520,650,5,0,25.8,66.6,0,0,0,23.0,blue
520,460,5,33.1,52.2,0,0,0,0,23.0,blue
520,470,3,29.1,0,0,33,0,17.4,23.0,blue
520,490,3,20.5,0,29.5,23.5,42.9,22.3,23.0,blue
520,550,3,0,21.3,27.2,24,89.7,19.6,23.0,blue
530,490,5,30.8,55,0,0,0,0,22.8,blue
530,490,5,0,0,0,47.3,38.9,0,22.8,blue
530,550,3,0,0,23.7,49.6,41.1,37.6,22.8,blue
530,600,4,0,0,87.8,0,0,0,22.8,blue
530,470,5,32.4,58,0,0,0,0,22.8,blue
530,490,4,26,30.9,35,0,0,0,22.8,blue
530,550,5,23.4,0,44.3,0,0,34,22.8,blue
530,650,2,0,19.7,31.8,16.8,89.9,42.4,22.8,blue
530,550,4,0,0,0,47.4,47.8,34.3,22.8,blue
540,600,5,0,0,44.3,29.5,40.7,21.7,22.5,blue
540,500,5,18.5,43.9,28.2,0,0,44,22.5,blue
540,600,4,0,0,0,70.3,0,0,22.5,blue
540,650,4,0,0,60.9,0,0,97.1,22.5,blue
540,550,4,0,25.8,69.3,0,0,0,22.5,blue
540,600,5,0,0,87.9,0,0,16.8,22.5,blue
540,420,5,18.8,0,60.6,0,0,0,22.5,blue
540,550,2,0,0,71.7,0,14.7,0,22.5,blue
540,600,5,0,18.7,78.1,0,,29.8,22.5,blue
540,550,3,0,0,23.9,60.2,,0,22.5,blue
540,600,5,0,0,70.7,23.3,0,19.5,22.5,blue
550,480,5,19.7,30.8,35.1,0,0,27.2,22.1,blue
550,650,5,0,0,79.8,0,20,42.6,22.1,blue
550,600,5,0,0,69.8,0,0,0,22.1,blue
550,600,5,16.8,0,0,45.2,0,0,22.1,blue
550,600,4,0,0,0,62.1,0,0,22.1,blue
550,600,4,0,0,61.8,0,99.6,18.3,22.1,blue
550,1000,3,0,53.8,0,0,96.5,45.1,22.1,blue
550,550,4,23.6,19.2,0,29.3,48.9,17.4,22.1,blue
550,550,5,0,0,37.8,32.8,0,17,22.1,blue
560,650,4,0,0,72.3,0,0,0,21.8,blue
560,600,5,0,0,0,72,0,14.7,21.8,blue
560,410,5,19.3,0,0,40.9,24.2,29.4,21.8,blue
560,480,4,23.7,56.6,0,21,0,0,21.8,blue
560,440,5,33.1,42,0,0,15.9,0,21.8,blue
560,700,4,0,19.8,0,64,0,0,21.8,blue
560,550,5,16.6,0,0,27,0,60.3,21.8,blue
560,650,2,0,26.6,34,0,73.4,29.7,21.8,blue
560,600,5,0,0,0,42.6,33.7,0,21.8,blue
560,550,5,0,0,0,36.7,80.5,28.9,21.8,blue
570,650,2,0,35.2,24.2,0,100,100,21.4,blue
570,550,4,24.7,23.8,0,33.5,0,20.2,21.4,blue
570,650,3,0,0,76.6,0,0,0,21.4,blue
570,600,4,0,0,63.5,18.8,0,0,21.4,blue
570,480,5,18,22.8,0,17.2,55.8,30.6,21.4,blue
570,470,5,0,0,65.8,0,0,0,21.4,blue
570,650,5,0,0,39,30,29.2,20.4,21.4,blue
570,600,5,29.1,0,0,21.8,0,0,21.4,blue
570,550,5,22.7,40.4,0,17.4,55.3,17,21.4,blue
570,650,5,17.4,0,0,32.8,43.1,0,21.4,blue
580,500,5,18.9,52,0,26.7,19,0,21.0,blue
580,550,4,0,0,57.2,19.6,0,0,21.0,blue
580,600,3,0,39,0,0,73.1,99.8,21.0,blue
580,600,4,0,0,0,62,0,0,21.0,blue
580,600,4,20.5,20.9,0,0,23.4,72.6,21.0,blue
580,1000,2,0,0,70.4,0,37.7,67.1,21.0,blue
580,600,4,0,0,23.8,50.6,0,0,21.0,blue
580,600,5,26.5,0,0,34.9,0,0,21.0,blue
580,550,4,0,0,0,41,36.1,0,21.0,blue
580,450,5,20.4,0,0,35.1,0,19.1,21.0,blue
590,600,5,0,0,44,23.8,0,14.8,20.8,blue
590,1000,3,0,0,67.4,0,99.4,0,20.8,blue
590,600,4,0,30.4,61.1,0,19.1,15.3,20.8,blue
590,700,4,0,0,59.7,0,0,16.3,20.8,blue
590,650,4,0,38.1,59.1,0,0,0,20.8,blue
590,650,5,22.9,0,27.2,22.5,0,0,20.8,blue
590,600,5,21.6,0,0,39,0,15.2,20.8,blue
590,550,5,24.7,0,24.2,19.9,0,21.6,20.8,blue
590,500,4,0,24.2,0,32.9,46.9,0,20.8,blue
590,650,5,0,0,0,35,0,19,20.8,blue
590,600,5,18,0,0,28.1,0,30.8,20.8,blue
590,600,4,0,36,42.4,0,0,29.9,20.8,blue
600,700,3,0,0,85.3,0,0,0,20.4,blue
600,550,3,0,0,0,0,74.6,96.4,20.4,blue
600,600,5,0,0,32.3,37.5,0,35,20.4,blue
600,550,3,0,0,0,29,86.6,37.3,20.4,blue
600,650,5,25.9,0,23.4,0,0,29.3,20.4,blue
600,650,3,0,32,62.8,0,0,0,20.4,blue
600,1000,3,0,0,83.1,0,0,0,20.4,blue
600,650,4,0,0,0,26.4,55.2,84.2,20.4,blue
600,650,4,0,0,0,34.4,65,54,20.4,blue
600,650,3,0,0,28.7,42.9,,0,20.4,blue
600,650,5,16.5,0,31.5,24.6,18.8,0,20.4,blue
600,600,1,0,0,0,61.6,33.2,39.9,20.4,blue
650,1000,3,0,0,82.2,0,0,29.3,20.2,blue
650,600,4,0,0,0,43.6,71.7,0,20.2,blue
650,650,3,0,0,28.7,0,98.4,94.8,20.2,blue
650,550,5,30.4,0,0,0,0,0,20.2,blue
650,700,5,0,0,25.4,55.1,36.6,0,20.2,blue
650,600,4,0,0,0,80.2,,0,20.2,blue
650,650,5,0,0,23.6,40.7,,0,20.2,blue
650,700,4,0,0,75.4,0,0,0,20.2,blue
650,650,4,0,0,32.4,25,56.2,52.1,20.2,blue
650,650,5,0,0,0,66.6,0,0,20.2,blue
650,650,4,0,30.7,25.9,0,97.1,52.2,20.2,blue
650,600,5,0,0,28.8,18.4,100,38.9,20.2,blue
650,750,5,0,0,64.7,0,0,14.8,20.2,blue
650,650,4,19.5,22,26.1,0,18.3,50.8,20.2,blue
650,550,5,0,0,61.9,0,0,0,20.2,blue
650,750,4,0,0,61,20.2,0,0,20.2,blue
650,600,5,0,0,33.4,19.6,26.3,23.7,20.2,blue
650,550,4,28.2,18.7,0,0,20.1,0,20.2,blue
650,700,4,0,0,31.9,0,34.6,22,20.2,blue
650,600,4,18.2,0,23.5,34.7,0,0,20.2,blue
650,750,5,0,0,68.2,0,0,31.7,20.2,blue
650,650,5,0,21.3,32.9,0,35,43.4,20.2,blue
650,1000,1,0,42.1,24.5,0,48.9,63.4,20.2,blue
650,650,4,20.8,24.4,31.2,0,20.9,0,20.2,blue
650,650,5,33.4,0,0,0,0,0,20.2,blue
650,700,3,18.5,0,47.6,0,,0,20.2,blue
650,600,5,29.9,0,0,0,0,0,20.2,blue
650,600,5,31.3,0,0,0,0,0,20.2,blue
650,550,5,29.6,0,0,0,23.5,0,20.2,blue
650,600,3,0,0,0,34.2,41.8,21,20.2,blue
650,650,3,0,0,0,42.4,28.9,51.3,20.2,blue
650,470,3,0,0,0,58.2,,23.8,20.2,blue
650,550,5,23.1,0,0,25.5,0,20.1,20.2,blue
650,550,5,0,0,0,49.7,,44.7,20.2,blue
650,750,3,0,0,36.4,0,39.3,72.4,20.2,blue
650,600,3,0,0,0,29.9,57.8,55.1,20.2,blue
650,700,5,0,0,33.9,0,0,69.3,20.2,blue
650,600,4,20.3,36.9,0,0,29,36.3,20.2,blue
650,600,5,0,0,43.6,0,,37.6,20.2,blue
650,700,2,16.7,0,0,55.4,,0,20.2,blue
650,750,5,0,0,0,27.9,55,34.1,20.2,blue
650,650,3,0,22.2,0,0,77.2,77.4,20.2,blue
650,600,4,0,0,0,32.5,20,0,20.2,blue
650,650,3,0,19.5,0,20.4,98.6,24.6,20.2,blue
650,600,3,0,0,0,0,87.8,99.9,20.2,blue
650,700,5,0,0,51,18.8,17.3,0,20.2,blue
650,650,5,21.8,44.2,0,0,0,0,20.2,blue
650,700,5,0,0,27,35.8,29.7,66.5,20.2,blue
700,700,3,0,0,45.8,24.2,0,0,18.6,blue
700,600,5,17.7,34.9,31.9,0,0,0,18.6,blue
700,650,5,0,36.6,0,0,0,61.4,18.6,blue
700,700,4,0,0,0,48.5,0,18,18.6,blue
700,700,2,0,0,0,28.2,60.5,97.7,18.6,blue
700,600,4,27.6,0,0,0,0,0,18.6,blue
700,750,5,0,0,32.2,32.8,0,0,18.6,blue
700,650,4,0,0,48.2,19.8,0,0,18.6,blue
700,700,4,0,0,63,0,0,0,18.6,blue
700,700,4,0,0,71.5,0,0,0,18.6,blue
700,1000,4,0,0,41.8,0,98.8,38.3,18.6,blue
700,700,4,19.6,41.7,0,0,0,0,18.6,blue
700,700,4,0,45.9,0,0,61.5,0,18.6,blue
700,750,3,0,0,26.6,0,41,67.7,18.6,blue
700,650,5,17,46.7,0,0,0,0,18.6,blue
700,650,3,0,29.5,24,0,0,55.7,18.6,blue
700,1000,4,0,0,59.9,0,21.7,0,18.6,blue
700,700,2,0,23.4,48.9,0,50.1,0,18.6,blue
700,750,4,0,0,33.7,0,0,0,18.6,blue
700,700,5,0,0,0,49.2,0,0,18.6,blue
700,750,4,0,0,24.7,24.6,38.5,48.8,18.6,blue
700,700,5,19.9,26.9,0,26,0,21.9,18.6,blue
700,650,4,0,0,0,30,0,0,18.6,blue
700,750,4,0,0,65.7,0,0,0,18.6,blue
700,1000,4,0,0,55.5,0,0,0,18.6,blue
700,750,5,0,0,33.3,0,28.9,19.9,18.6,blue
700,600,4,0,25.1,27.8,18.6,19.6,19.5,18.6,blue
700,750,5,0,0,45,0,0,39.1,18.6,blue
700,700,5,0,0,0,36.2,39.1,98.8,18.6,blue
700,700,5,0,0,28.2,20.6,0,15.1,18.6,blue
700,700,4,0,0,31.4,22.5,0,0,18.6,blue
700,700,4,23.3,29.5,0,0,0,0,18.6,blue
700,700,3,0,37.1,29.4,0,23.4,29.5,18.6,blue
700,1000,1,28.2,0,0,0,23.8,25.9,18.6,blue
700,650,4,0,0,30.8,19.1,64.5,0,18.6,blue
700,650,4,0,0,0,20.9,66.1,60.3,18.6,blue
700,700,5,0,0,0,43.4,20.5,0,18.6,blue
700,550,4,17.5,0,49.2,0,0,0,18.6,blue
700,700,3,0,0,0,44.8,0,0,18.6,blue
700,750,5,0,0,49.3,20.5,0,0,18.6,blue
700,650,4,0,0,25.7,31.2,,,18.6,blue
700,650,4,0,0,0,38.7,0,19.3,18.6,blue
700,700,4,0,0,39.5,0,0,0,18.6,blue
700,700,3,0,0,0,24.9,25.4,17.6,18.6,blue
700,700,5,0,0,43,0,0,0,18.6,blue
700,750,2,0,19.4,0,0,100,100,18.6,blue
700,700,5,0,0,0,64.1,,48.9,18.6,blue
700,750,5,0,0,40.1,30.6,19.4,0,18.6,blue
700,750,5,0,0,0,31.1,48.4,66.6,18.6,blue
750,800,2,0,0,0,0,100,100,17.1,blue
750,750,4,0,35.8,0,0,23.5,0,17.1,blue
750,800,3,0,0,24.6,0,91.3,66.2,17.1,blue
750,800,4,16.7,0,26.9,0,34.3,0,17.1,blue
750,750,3,0,0,0,0,81.7,51.8,17.1,blue
750,  1000,4,0,0,36,0,0,0,17.1,blue
750,750,5,0,0,0,30.6,0,0,17.1,blue
750,750,5,0,0,66.6,0,0,0,17.1,blue
750,700,5,20.8,0,0,0,0,16.8,17.1,blue
750,800,5,0,0,0,28.3,0,0,17.1,blue
750,800,4,0,0,46.8,19.5,18.9,0,17.1,blue
750,750,4,0,0,0,47.6,0,0,17.1,blue
750,750,3,0,46,0,0,0,0,17.1,blue
750,750,5,0,0,0,18.9,78.7,21.9,17.1,blue
750,700,5,0,0,0,46.2,47,31.4,17.1,blue
750,750,5,0,0,57.3,0,0,0,17.1,blue
750,800,3,0,21.8,0,0,44.1,44.5,17.1,blue
750,  1000,4,0,0,60.4,0,0,0,17.1,blue
750,700,4,0,0,43.3,0,38.1,39.9,17.1,blue
750,650,4,0,31.4,0,0,19.7,16.3,17.1,blue
750,750,4,0,0,0,18.6,62.3,15.7,17.1,blue
750,700,4,0,64.6,0,0,47,0,17.1,blue
750,650,5,27.8,31.1,0,0,0,0,17.1,blue
750,750,3,0,31.6,0,0,64,0,17.1,blue
750,650,4,18.1,44.1,0,0,0,0,17.1,blue
750,700,3,0,0,33.8,0,0,0,17.1,blue
750,800,5,0,0,0,58,0,0,17.1,blue
750,750,5,17.6,0,0,31.1,0,16.7,17.1,blue
750,  1000,5,0,0,0,32.3,0,0,17.1,blue
750,750,4,0,0,0,32.3,0,15.2,17.1,blue
750,700,3,18.4,0,0,0,21.9,0,17.1,blue
750,700,4,0,0,0,32.7,,22.2,17.1,blue
750,  1000,5,0,0,0,51.1,,0,17.1,blue
750,700,5,16.5,0,23.9,0,18.3,18.6,17.1,blue
750,1000,2,0,0,43.8,0,15,15.2,17.1,blue
750,700,5,0,20.6,0,37.8,0,0,17.1,blue
750,800,3,0,0,0,53.5,0,18.2,17.1,blue
750,  1000,3,0,0,0,0,87.1,88.6,17.1,blue
750,  1000,3,0,0,0,0,81.5,96.3,17.1,blue
750,800,3,0,26.9,0,0,52.4,71.2,17.1,blue
750,650,3,0,0,46.1,0,0,0,17.1,blue
750,750,4,0,0,0,38.1,0,0,17.1,blue
750,800,5,0,0,33.4,0,0,52,17.1,blue
750,650,4,17.7,0,0,32.3,0,0,17.1,blue
750,800,5,0,0,39.7,0,0,75.6,17.1,blue
750,1000,2,16.6,0,41.2,0,0,0,17.1,blue
750,800,4,0,0,59.9,0,0,0,17.1,blue
750,800,4,0,0,33.7,0,0,0,17.1,blue
750,1000,2,0,0,30.4,0,100,0,17.1,blue
800,750,4,17,0,26.1,0,0,0,15.3,blue
800,700,3,0,0,0,42.6,,0,15.3,blue
800,700,4,0,0,43.2,0,33,31.5,15.3,blue
800,750,5,0,0,25,19,0,0,15.3,blue
800,750,4,0,0,34.6,17,0,0,15.3,blue
800,750,4,0,0,37.3,0,,18.4,15.3,blue
800,1000,2,0,22.3,36.8,0,0,0,15.3,blue
800,700,3,0,0,0,0,46.6,52.3,15.3,blue
800,800,3,0,0,0,0,64.6,76.8,15.3,blue
800,1000,2,0,0,36.7,0,52,33.1,15.3,blue
800,1000,4,0,0,47.4,0,0,0,15.3,blue
800,800,5,0,0,0,21.5,0,0,15.3,blue
800,1000,4,0,0,58.6,0,0,0,15.3,blue
800,750,4,0,21.2,36.7,0,0,0,15.3,blue
800,  1000,5,0,0,0,35.6,21.7,19.7,15.3,blue
800,750,2,0,0,0,0,59.5,98.9,15.3,blue
800,  1000,3,0,0,0,0,68,95.1,15.3,blue
800,750,4,0,0,52.3,0,0,0,15.3,blue
800,750,3,0,0,0,0,84.3,50.7,15.3,blue
800,800,5,0,0,0,45.4,0,0,15.3,blue
800,1000,5,0,0,50.1,0,0,0,15.3,blue
800,  1000,5,0,0,0,23.8,20.9,67.3,15.3,blue
800,  1000,5,0,0,0,22,33.5,0,15.3,blue
800,800,5,0,0,0,0,,97.3,15.3,blue
800,750,4,20.5,28.1,0,0,0,0,15.3,blue
800,700,5,0,23.9,26.8,0,15.9,28.7,15.3,blue
800,1000,4,0,0,47.1,0,0,0,15.3,blue
800,750,5,0,18.9,24.7,0,34.7,22.8,15.3,blue
800,  1000,3,0,0,48.3,0,0,34.2,15.3,blue
800,750,4,0,0,0,24.8,0,0,15.3,blue
800,800,3,22.4,18,0,0,0,0,15.3,blue
800,700,5,18.8,31.1,0,0,0,0,15.3,blue
