Country,Unnamed: 0,Unnamed: 0,CurrentRank,CurrentRank,LastRank,LastRank,Age,Age,Academicscorerscore,Academicscorerscore,Academicrankrank,Academicrankrank,Employerscore,Employerscore,Employerrank,Employerrank,FacultyStudentscore,FacultyStudentscore,FacultyStudentrank,FacultyStudentrank,CitationsPerFacultyscore,CitationsPerFacultyscore,CitationsPerFacultyrank,CitationsPerFacultyrank,InternationalFacultyscore,InternationalFacultyscore,InternationalFacultyrank,InternationalFacultyrank,InternationalStudentscore,InternationalStudentscore,InternationalStudentrank,InternationalStudentrank,OverallScore,OverallScore,Latitude,Latitude,Longitude,Longitude,anno,anno,pca_1,pca_1,pca_2,pca_2
,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean
Argentina,13,600.2307692307693,13,629.9230769230769,13,627.1538461538462,13,3.8461538461538463,13,15.907692307692306,13,244.53846153846155,13,24.73076923076923,13,212.53846153846155,13,49.107692307692304,13,196.92307692307693,13,0.5923076923076922,13,231.15384615384616,10,15.48,13,272.15384615384613,10,31.139999999999997,13,198.92307692307693,13,24.500000000000004,13,-26.048458447115383,13,-52.47693123557693,13,2020,13,-0.7536046191178893,13,-0.12795048208244764
Australia,35,359.54285714285714,35,370.0285714285714,35,391.6857142857143,35,3.6,35,32.57428571428571,35,192.82857142857142,35,34.47714285714285,35,192.94285714285715,35,14.41714285714286,35,423.0,35,47.64857142857143,35,245.14285714285714,35,87.11714285714284,35,124.8,35,77.58,35,139.4857142857143,35,39.037142857142854,35,-23.686087735714285,35,133.10387487142856,35,2020,35,1.5260234916821689,35,1.826944334018555
Austria,8,411.5,8,416.875,8,449.0,7,4.571428571428571,8,20.187500000000004,8,272.5,8,23.1375,8,258.375,8,34.525,8,276.125,8,24.224999999999998,8,433.125,7,79.85714285714288,8,175.0,8,69.30000000000001,8,210.5,8,31.1125,8,47.572398281249995,8,14.580291875,8,2020,8,0.7666242028116752,8,0.9370281971896526
Azerbaijan,1,816.0,1,1000.0,1,1000.0,1,5.0,1,0.0,1,0.0,1,0.0,1,0.0,1,44.8,1,337.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,14.1,1,40.3777,1,49.892,1,2020,1,-2.6753166652176765,1,-1.183812587863455
Bahrain,1,957.0,1,1000.0,1,1000.0,1,3.0,1,0.0,1,0.0,1,19.4,1,474.0,1,0.0,1,0.0,1,0.0,1,0.0,1,98.2,1,99.0,1,22.3,1,502.0,1,14.1,1,25.105754,1,55.415171,1,2020,1,-2.1461565286720465,1,2.103259297287096
Bangladesh,2,891.0,2,1000.0,2,1000.0,2,3.5,2,0.0,2,0.0,2,21.0,2,439.0,2,0.0,2,0.0,2,0.0,2,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,14.1,2,23.729964484375,2,90.393965796875,2,2020,2,-2.7698965200289303,2,0.2478194996080627
Belarus,2,586.0,2,675.5,2,677.0,2,4.0,2,9.0,2,230.5,2,29.5,2,323.5,2,65.35,2,246.0,2,0.85,2,300.5,2,2.75,2,300.5,2,10.3,2,261.5,2,22.55,2,53.909031494999994,2,27.574298822,2,2020,2,-1.0884414618102027,2,-0.8872401901782019
Belgium,8,258.75,8,259.375,8,253.125,8,4.125,8,35.550000000000004,8,217.625,8,33.7,8,247.25,8,39.75,8,336.0,8,48.675,8,273.875,8,68.625,8,262.875,8,49.587500000000006,8,309.625,8,41.9125,8,51.623712312500004,8,11.29339425,8,2020,8,1.834064666867969,8,0.5145924689583213
Brazil,19,703.578947368421,19,742.578947368421,19,709.3684210526316,19,4.0,19,19.705263157894734,19,149.05263157894737,19,8.826315789473684,19,121.0,19,21.047368421052635,19,267.8421052631579,19,5.4789473684210535,19,136.6315789473684,19,3.0789473684210527,19,186.26315789473685,19,0.7368421052631579,19,158.1578947368421,19,20.942105263157906,19,-22.66126992105263,19,-46.20346763157895,19,2020,19,-1.6769529100190497,19,-0.666354917932118
Brunei,2,340.0,2,338.5,2,382.5,2,3.0,2,11.55,2,501.0,2,8.0,2,501.0,2,90.1,2,84.5,2,5.85,2,601.0,2,99.6,2,62.0,2,41.55,2,385.5,2,31.75,2,4.51234,2,114.017186,2,2020,2,0.6404429632312081,2,1.3006172182920077
