Country,CurrentRank_count,CurrentRank_mean
Argentina,29,520.7241379310345
Australia,35,372.54285714285714
Azerbaijan,3,701.0
Bahrain,2,585.5
Bangladesh,2,700.5
Belarus,10,289.1
Brazil,22,589.2272727272727
Canada,59,369.3898305084746
Chile,19,383.0
Colombia,10,554.5
Costa Rica,3,627.3333333333334
Cuba,1,701.0
Czech Republic,5,580.4
Denmark,48,346.2291666666667
Ecuador,4,599.75
Egypt,5,613.6
Estonia,21,477.3809523809524
Finland,10,337.3
France,39,457.20512820512823
Ghana,1,701.0
Greece,6,616.0
Hong Kong,7,171.57142857142858
Hungary,7,671.8571428571429
India,23,515.3913043478261
Indonesia,8,392.0
Iran,5,558.2
Iraq,2,675.5
Ireland,6,373.8333333333333
Italy,28,552.4642857142857
Japan,39,470.87179487179486
Jordan,2,650.0
KR,4,449.0
Kazakhstan,8,537.875
Kenya,1,701.0
Kuwait,1,701.0
Latvia,5,658.6
Lebanon,3,476.0
Malaysia,9,447.22222222222223
Mexico,14,620.9285714285714
Morocco,1,550.0
Netherlands,13,145.46153846153845
New Zealand,8,268.625
Norway,4,231.5
Oman,1,460.0
Pakistan,6,675.8333333333334
Palestinian Territory,11,521.7272727272727
Peru,3,630.6666666666666
Philippines,4,581.5
Puerto Rico,1,701.0
Qatar,1,393.0
Romania,4,701.0
Russia,23,499.7826086956522
Saudi Arabia,7,457.14285714285717
Serbia,8,180.375
Singapore,5,363.2
South  Korea,4,701.0
South Africa,9,544.1111111111111
South Korea,23,410.7391304347826
Sri Lanka,1,701.0
Taiwan,15,381.46666666666664
Thailand,8,573.625
Turkey,11,590.4545454545455
Uganda,1,701.0
United Arab Emirates,6,587.5
United Kingdom,71,322.9577464788732
United States,154,385.81168831168833
Uruguay,2,675.5
Venezuela,5,690.6
