CurrentRank,LastRank,Institution,Country,Size,Focus,Research,Age,Status,Academicscorerscore,Academicrankrank,Employerscore,Employerrank,FacultyStudentscore,FacultyStudentrank,CitationsPerFacultyscore,CitationsPerFacultyrank,InternationalFacultyscore,InternationalFacultyrank,InternationalStudentscore,InternationalStudentrank,OverallScore,Latitude,Longitude,anno,pca_1,pca_2,color
26,21,DUKE UNIVERSITY,United States,L,FC,VH,5,B,88.2,46,74.7,87,99.3,37,88.2,41,14.3,601.0,55.0,260.0,83.9,36.001218125,-78.93810350000001,2019,5.125677187711927,-1.7405958248454665,red
27,27,"UNIVERSITY OF CALIFORNIA, BERKELEY (UCB)",United States,XL,FC,VH,5,A,100.0,6,99.8,9,28.9,512,99.9,7,99.5,67.0,46.1,308.0,83.2,37.870394,-122.259058,2019,5.705376717356934,-0.2875388507318009,red
28,31,UNIVERSITY OF TORONTO,Canada,XL,FC,VH,5,A,98.7,18,94.0,35,74.8,176,47.6,254,96.4,117.0,92.9,88.0,83.0,43.548175,-79.6626575,2019,5.699471783600741,0.1285640661707951,red
29,34,THE UNIVERSITY OF MANCHESTER,United Kingdom,XL,FC,VH,5,A,94.6,33,98.5,20,76.0,168,51.2,221,93.2,144.0,98.8,46.0,82.9,53.4644325,-2.2355155,2019,5.759681980827176,0.1918467350066224,red
30,38,PEKING UNIVERSITY,China,XL,FC,VH,5,A,99.0,16,99.8,10,64.0,229,69.4,103,68.2,251.0,53.8,268.0,82.6,39.990647,116.304231,2019,5.431378170469972,-0.8443212031735569,red
31,23,KING'S COLLEGE LONDON (KCL),United Kingdom,L,FC,VH,5,A,87.7,47,83.2,65,85.1,118,59.9,159,98.6,86.0,99.7,31.0,82.5,51.42141,-0.225741,2019,5.679490572378064,0.3007285871879728,red
32,33,"UNIVERSITY OF CALIFORNIA, LOS ANGELES (UCLA)",United States,XL,FC,VH,4,A,100.0,8,99.1,17,41.8,372,92.4,29,56.1,310.0,42.0,336.0,81.9,34.070845,-118.44548175,2019,5.216573253886223,-0.4393823228909044,red
33,32,MCGILL UNIVERSITY,Canada,L,FC,VH,5,A,91.4,36,93.1,39,73.0,183,58.3,175,90.4,162.0,96.2,73.0,81.7,45.50463675,-73.5763445,2019,5.638306045001057,0.1604372888763904,red
34,28,NORTHWESTERN UNIVERSITY,United States,L,FC,VH,5,B,85.0,55,73.1,90,99.8,28,68.4,109,72.0,240.0,54.8,263.0,81.5,42.0530945,-87.6752305,2019,5.169531241920143,-0.8544964961575201,red
35,36,KYOTO UNIVERSITY,Japan,L,FC,VH,5,A,98.6,22,93.2,38,95.7,57,56.6,184,17.4,568.0,18.2,544.0,81.2,35.030004500000004,135.76097299999998,2019,4.793294805173365,-2.3469565591191817,red
36,36,SEOUL NATIONAL UNIVERSITY (SNU),South Korea,L,FC,VH,4,A,96.2,30,92.7,41,87.7,102,66.5,120,22.1,506.0,14.0,601.0,80.6,14.604405,120.994477,2019,4.659925056061236,-1.6345461516486992,red
37,30,THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (HKUST),Hong Kong,M,CO,VH,3,A,83.6,57,73.0,91,61.8,241,89.0,38,100.0,15.0,87.9,114.0,80.5,22.3374505,114.263211,2019,5.249696372480762,1.6097488765390366,red
38,35,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE),United Kingdom,M,SP,VH,5,A,84.2,56,99.9,8,47.0,329,84.6,51,100.0,28.0,100.0,7.0,80.2,51.5142765,-0.116634,2019,5.770042157146337,0.575143148396968,red
39,41,THE UNIVERSITY OF MELBOURNE,Australia,XL,FC,VH,5,A,99.0,15,98.8,19,26.5,548,76.4,76,97.6,103.0,99.9,24.0,80.1,-37.83761,145.041567,2019,5.703929700882065,0.5572529975303173,red
40,41,KAIST 0 KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,South Korea,M,CO,VH,3,A,83.2,58,78.3,81,79.5,152,98.5,16,26.4,473.0,9.8,601.0,78.7,36.372092,127.360296,2019,4.404786510705073,-0.8231794291669362,red
41,38,"UNIVERSITY OF CALIFORNIA, SAN DIEGO (UCSD)",United States,XL,FC,VH,4,A,91.7,35,56.1,139,62.1,238,84.5,52,64.9,264.0,70.7,189.0,78.6,32.879793,-117.23892,2019,4.823252686331071,0.1416585176924833,red
