Country,Unnamed: 0,Unnamed: 0,CurrentRank,CurrentRank,LastRank,LastRank,Age,Age,Academicscorerscore,Academicscorerscore,Academicrankrank,Academicrankrank,Employerscore,Employerscore,Employerrank,Employerrank,FacultyStudentscore,FacultyStudentscore,FacultyStudentrank,FacultyStudentrank,CitationsPerFacultyscore,CitationsPerFacultyscore,CitationsPerFacultyrank,CitationsPerFacultyrank,InternationalFacultyscore,InternationalFacultyscore,InternationalFacultyrank,InternationalFacultyrank,InternationalStudentscore,InternationalStudentscore,InternationalStudentrank,InternationalStudentrank,OverallScore,OverallScore,Latitude,Latitude,Longitude,Longitude,anno,anno,pca_1,pca_1,pca_2,pca_2
,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean
Argentina,15,643.6,15,676.8666666666667,15,656.4666666666667,15,3.8666666666666667,15,13.906666666666668,15,207.73333333333332,15,22.92,15,168.2,15,43.226666666666674,15,161.33333333333334,15,0.5133333333333333,15,200.33333333333334,10,14.63,14,212.35714285714286,12,27.275000000000002,15,210.6,15,23.12666666666666,15,-26.99186245416666,15,-54.082210270833336,15,2019,15,-0.9904482512441383,15,0.010916969102759374
Australia,37,407.05405405405406,37,424.56756756756755,37,431.0810810810811,37,3.6216216216216215,37,29.216216216216218,37,176.1891891891892,37,32.783783783783804,37,165.1081081081081,37,15.921621621621622,37,385.86486486486484,37,42.50270270270271,37,256.5135135135135,37,82.42702702702704,37,166.64864864864865,37,74.76216216216216,37,158.72972972972974,37,36.962162162162166,37,-24.043362128378376,37,134.13260870270273,37,2019,37,1.1833982864866748,37,1.7129934943432727
Austria,8,439.75,8,449.0,8,466.5,8,4.625,8,18.9375,8,280.5,8,24.275000000000002,8,246.125,8,28.524999999999995,8,320.0,8,21.9625,8,360.5,7,79.3,8,173.875,8,68.9625,8,212.375,8,29.437500000000004,8,47.57155976799999,8,14.5794672455,8,2019,8,0.6068157038124369,8,0.8866324536876136
Azerbaijan,1,819.0,1,1000.0,1,1000.0,1,4.0,1,0.0,1,0.0,1,0.0,1,0.0,1,38.4,1,398.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,14.2,1,40.3777,1,49.892,1,2019,1,-2.836270712026576,1,-0.5093343906423607
Bahrain,1,960.0,1,1000.0,1,1000.0,1,3.0,1,0.0,1,0.0,1,23.1,1,411.0,1,0.0,1,0.0,1,0.0,1,0.0,1,98.1,1,96.0,1,23.1,1,485.0,1,14.2,1,25.105754,1,55.415171,1,2019,1,-2.126373846315369,1,2.1676584778006736
Bangladesh,2,894.5,2,1000.0,2,875.0,2,3.5,2,0.0,2,0.0,2,31.099999999999998,2,309.0,2,0.0,2,0.0,2,0.0,2,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,14.2,2,23.729964484375,2,90.393965796875,2,2019,2,-2.5193769779549706,2,0.23055032583831228
Belarus,2,588.0,2,677.0,2,567.0,2,4.0,2,8.2,2,250.5,2,25.55,2,387.5,2,67.15,2,227.5,2,0.85,2,300.5,2,4.5,2,300.5,2,12.2,2,235.5,2,22.5,2,53.909031494999994,2,27.574298822,2,2019,2,-0.9937185092384642,2,-0.7235102322081632
Belgium,8,253.125,8,253.125,8,233.125,8,4.25,8,33.725,8,225.0,8,34.9875,8,229.25,8,42.35,8,331.5,8,49.9375,8,264.375,8,67.5625,8,266.5,8,51.7375,8,295.375,8,42.075,8,51.623712312500004,8,11.29339425,8,2019,8,1.9010514050608218,8,0.43191148284357594
Bosnia and Herzegovina,1,576.0,1,580.0,1,1000.0,1,2.0,1,0.0,1,0.0,1,0.0,1,0.0,1,70.4,1,196.0,1,0.0,1,0.0,1,37.7,1,397.0,1,67.1,1,207.0,1,21.0,1,1.313052,1,103.773508,1,2019,1,-1.46301413545392,1,2.109942362486732
Brazil,22,713.2272727272727,22,749.0,22,732.4545454545455,22,4.0,22,17.15454545454546,22,122.63636363636364,22,9.581818181818182,22,118.95454545454545,22,22.313636363636366,22,263.8181818181818,22,4.363636363636364,22,119.9090909090909,22,3.872727272727272,22,183.54545454545453,22,0.8863636363636364,22,136.5909090909091,22,20.499999999999996,22,-21.76837986363636,22,-45.9521903409091,22,2019,22,-1.7580793416343625,22,-0.6251404382833471
Brunei,2,382.0,2,382.5,2,674.5,2,3.0,2,8.4,2,501.0,2,6.5,2,501.0,2,86.35,2,112.0,2,4.55,2,601.0,2,99.4,2,64.0,2,42.85,2,370.5,2,29.400000000000002,2,4.51234,2,114.017186,2,2019,2,0.060578678074214465,2,1.6978649557138783
Bulgaria,1,890.0,1,1000.0,1,750.0,1,5.0,1,0.0,1,0.0,1,18.3,1,490.0,1,35.2,1,433.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,14.2,1,42.6494986,1,23.3571502,1,2019,1,-2.20769828109123,1,-1.229919740727032
Canada,26,374.2692307692308,26,382.53846153846155,26,369.7692307692308,26,4.5,26,28.726923076923075,26,200.69230769230768,26,34.95769230769231,26,219.76923076923077,26,25.603846153846156,26,373.38461538461536,26,44.611538461538444,26,276.03846153846155,23,75.80000000000001,26,169.30769230769232,26,52.78461538461538,26,228.8846153846154,26,36.923076923076934,26,45.92039953846154,26,-85.99443449038462,26,2019,26,1.2931688872446343,26,0.5575446650907251
Chile,11,691.5454545454545,11,737.2727272727273,11,704.3636363636364,11,4.0,11,20.790909090909093,11,103.9090909090909,11,37.72727272727273,11,150.54545454545453,11,4.2727272727272725,11,97.36363636363636,11,2.3363636363636364,11,109.27272727272727,11,14.68181818181818,11,327.27272727272725,11,1.2181818181818183,11,109.27272727272727,11,21.86363636363636,11,-34.484472397727274,11,-71.26402336363635,11,2019,11,-1.36261917954965,11,-0.426818407609967
China,40,449.475,40,466.875,40,481.975,40,4.3,40,24.130000000000003,40,177.45,40,20.790000000000003,40,190.475,40,32.622499999999995,40,328.75,40,46.769999999999996,40,241.225,40,24.805,40,278.45,40,11.4725,40,326.9,40,32.139999999999986,40,34.218482237699995,40,110.83854482870001,40,2019,40,0.14627985355473214,40,-0.5954327567974006
Colombia,11,698.6363636363636,11,748.5454545454545,11,712.7272727272727,11,4.363636363636363,11,18.09090909090909,11,158.27272727272728,11,37.3909090909091,11,144.8181818181818,11,11.872727272727273,11,114.63636363636364,11,1.1545454545454545,11,163.9090909090909,10,7.520000000000001,11,199.54545454545453,11,0.5636363636363636,11,163.9090909090909,11,20.43636363636363,11,7.077818477272728,11,-76.60387552272728,11,2019,11,-1.40424453907429,11,-0.7510797081074349
Costa Rica,4,777.25,4,827.5,4,855.0,4,3.25,4,6.85,4,76.75,4,20.3,4,277.25,4,33.95,4,455.25,4,0.0,4,0.0,3,0.0,4,0.0,4,0.0,4,0.0,4,16.775000000000002,4,9.77838675,4,-83.932911875,4,2019,4,-2.122444720412769,4,-0.020664072084379002
Croatia,1,988.0,1,1000.0,1,650.0,1,5.0,1,0.0,1,0.0,1,0.0,1,0.0,1,28.7,1,520.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,14.2,1,45.86503,1,15.801008,1,2019,1,-2.357406680572742,1,-1.2094097440036515
Cuba,1,517.0,1,520.0,1,650.0,1,5.0,1,0.0,1,0.0,1,25.8,1,378.0,1,66.6,1,216.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,23.0,1,23.136843,1,-82.381507,1,2019,1,-1.0088968341809454,1,-1.581270589914731
