Institution,Country,Latitude,Longitude,CurrentRank,LastRank,Size,Focus,Research,Age,Status,Academicscorerscore,Academicrankrank,Employerscore,Employerrank,FacultyStudentscore,FacultyStudentrank,CitationsPerFacultyscore,CitationsPerFacultyrank,InternationalFacultyscore,InternationalFacultyrank,InternationalStudentscore,InternationalStudentrank,OverallScore,anno,pca_1,pca_2,color
AALBORG UNIVERSITY,Denmark,57.015,9.985,379,374,L,FC,VH,3.0,A,24.5,401,47.3,262,31.9,401,26.9,401.0,74.3,211.0,42.8,330.0,32.2,2018,1.2568901727515671,1.8738531807465808,blue
AALTO UNIVERSITY,Finland,60.1848,24.8233,137,133,L,FO,VH,5.0,A,46.5,214,53.5,208,65.1,193,63.8,134.0,81.0,189.0,41.0,346.0,56.0,2018,3.439956074011388,-0.383118181010823,red
AARHUS UNIVERSITY,Denmark,56.1667,10.2,119,117,L,FC,VH,4.0,A,66.1,129,54.6,201,34.3,384,74.6,89.0,72.1,216.0,37.9,374.0,59.3,2018,3.3807065051333973,0.5141450465777041,red
ABERYSTWYTH UNIVERSITY,United Kingdom,52.415089,-4.083116,490,500,M,CO,VH,5.0,A,0.0,0,0.0,0,30.6,401,34.4,367.0,61.8,254.0,43.4,326.0,26.2,2018,0.3026511365857424,-0.2607330396222154,blue
ABO AKADEMI UNIVERSITY,Finland,60.452331524,22.273832238,600,550,M,CO,VH,4.0,A,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,-1.9350621053349693,0.1127804624445814,blue
ABU DHABI UNIVERSITY,United Arab Emirates,24.466667,54.366669,800,701,S,FO,HI,2.0,C,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,-2.586681254045058,2.378590788044154,blue
ADAM MICKIEWICZ UNIVERSITY,Poland,52.409538,16.931992,1000,1000,XL,CO,HI,4.0,A,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,-2.9781975096203275,0.1482522823924171,blue
AGH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Poland,50.0587164318,19.920912983,1000,1000,L,CO,VH,5.0,A,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,-2.864064897825157,-0.9794964892959528,blue
AIN SHAMS UNIVERSITY ,Egypt,30.075808,30.075808,750,701,XL,FC,HI,4.0,A,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,-2.302679847588505,0.124301847390131,blue
AIRLANGGA UNIVERSITY,Indonesia,-7.250445,112.768845,750,701,XL,FC,LO,4.0,A,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,-2.302679847588505,0.124301847390131,blue
AJOU UNIVERSITY ,South Korea,37.282913,127.04607,700,650,M,FC,VH,3.0,B,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,-2.293388403163822,1.2481432824052,blue
AL AZHAR UNIVERSITY ,Egypt,30.04083317,31.25749897,1000,701,XL,CO,HI,5.0,A,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,-2.467228150124392,-1.0094899379118245,blue
AL-FARABI KAZAKH NATIONAL UNIVERSITY,Kazakhstan,43.238949,76.889709,236,236,L,CO,MD,4.0,A,38.6,270,50.8,224,99.0,36,1.1,401.0,30.9,395.0,14.9,401.0,42.9,2018,1.7342485849099905,0.379153012905265,blue
AL-IMAM MOHAMED IBN SAUD ISLAMIC UNIVERSITY,Saudi Arabia,24.4859,46.4247,800,700,XL,CO,MD,4.0,A,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,-2.357088817251704,0.1229929321302371,blue
ALEXANDRIA UNIVERSITY ,Egypt,30.0275,31.2103,800,701,XL,FC,HI,4.0,A,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,-2.3584160304547166,0.123093244667414,blue
ALEXANDRU IOAN CUZA UNIVERSITY,Romania,47.151726,27.587914,1000,701,L,FO,VH,5.0,A,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,-2.467228150124392,-1.0094899379118245,blue
"ALIGARH MUSLIM UNIVERSITY (AMU), ALIGARH",India,27.900383,78.072281,1000,1000,L,CO,HI,5.0,A,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,-2.864064897825157,-0.9794964892959528,blue
ALPEN-ADRIA-UNIVERSITÄT KLAGENFURT ,Austria,46.609830894,14.258998964,800,701,M,FO,HI,3.0,A,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,-2.4725486422498872,1.250842016355784,blue
AMERICAN UNIVERSITY,United States,38.9371,-77.0869,480,384,L,CO,HI,5.0,B,0.0,0,0.0,0,30.0,401,10.3,401.0,7.5,401.0,32.0,401.0,26.5,2018,-0.3621426743874347,-0.7085492237877579,blue
AMERICAN UNIVERSITY IN CAIRO,Egypt,30.0186,31.5002,395,365,M,CO,HI,4.0,B,31.0,353,49.3,236,37.1,351,5.1,401.0,90.7,140.0,5.8,401.0,30.7,2018,1.0396715217565764,0.6147217852956615,blue
AMERICAN UNIVERSITY IN DUBAI,United Arab Emirates,25.123,55.411164,650,600,S,FO,MD,2.0,B,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,-2.2854241719421515,2.3720850299574456,blue
