Country,CurrentRank_count,CurrentRank_mean
Argentina,13,629.9230769230769
Australia,35,370.0285714285714
Austria,8,416.875
Azerbaijan,1,1000.0
Bahrain,1,1000.0
Bangladesh,2,1000.0
Belarus,2,675.5
Belgium,8,259.375
Brazil,19,742.578947368421
Brunei,2,338.5
Bulgaria,1,800.0
Canada,26,387.96153846153845
Chile,11,723.1818181818181
China,42,484.5952380952381
Colombia,12,670.4166666666666
Costa Rica,3,840.0
Croatia,1,800.0
Cuba,1,510.0
Czech Republic,10,685.4
Denmark,6,339.0
Ecuador,4,950.0
Egypt,5,785.0
Estonia,3,650.3333333333334
Finland,9,353.55555555555554
France,38,603.5263157894736
Germany,47,426.5744680851064
Greece,6,712.3333333333334
Hong Kong,7,158.14285714285714
Hungary,7,794.2857142857143
India,25,688.36
Indonesia,9,677.4444444444445
Iran,6,699.3333333333334
Iraq,3,916.6666666666666
Ireland,8,421.375
Israel,7,473.85714285714283
Italy,35,646.4
Japan,41,553.9756097560976
Jordan,4,837.5
Kazakhstan,10,675.6
Kuwait,1,1000.0
Latvia,3,916.6666666666666
Lebanon,7,663.4285714285714
Lithuania,4,714.5
Macau,1,387.0
Malaysia,20,605.75
Mexico,13,702.3846153846154
Netherlands,13,162.15384615384616
New Zealand,8,256.5
Norway,5,406.0
Oman,1,379.0
Pakistan,7,720.7142857142857
Panama,1,1000.0
Paraguay,1,1000.0
Peru,3,824.6666666666666
Philippines,4,751.5
Poland,16,888.5625
Portugal,7,539.7142857142857
Puerto Rico,1,1000.0
Qatar,1,276.0
Romania,2,1000.0
Russia,25,482.04
Saudi Arabia,8,529.625
Serbia,1,1000.0
Singapore,3,166.33333333333334
Slovakia,3,866.6666666666666
Slovenia,2,700.0
South Africa,8,636.875
South Korea,30,464.53333333333336
Spain,27,549.7407407407408
Sri Lanka,1,1000.0
Sweden,10,354.2
Switzerland,9,180.55555555555554
Taiwan,16,421.4375
Thailand,8,732.625
Turkey,9,721.2222222222222
Ukraine,6,673.5
United Arab Emirates,8,571.0
United Kingdom,86,463.98837209302326
United States,159,455.6792452830189
Uruguay,2,745.5
Venezuela,4,937.5
Vietnam,2,875.0
