Institution,Country,Latitude,Longitude,CurrentRank,LastRank,Size,Focus,Research,Age,Status,Academicscorerscore,Academicrankrank,Employerscore,Employerrank,FacultyStudentscore,FacultyStudentrank,CitationsPerFacultyscore,CitationsPerFacultyrank,InternationalFacultyscore,InternationalFacultyrank,InternationalStudentscore,InternationalStudentrank,OverallScore,anno,pca_1,pca_2,color
AALBORG UNIVERSITY,Denmark,57.015,9.985,343,379,L,FC,VH,3,A,17.0,479,34.4,279,43.9,354,33.5,377,75.7,221.0,39.7,351.0,31.6,2019,0.7955058625752212,1.3515014241182373,blue
AALTO UNIVERSITY,Finland,60.1848,24.8233,140,137,M,FO,VH,1,A,36.4,216,48.2,178,56.6,276,68.6,108,85.4,188.0,39.4,352.0,50.8,2019,2.440309123445087,2.396757316724349,red
AARHUS UNIVERSITY,Denmark,56.1667,10.2,141,119,L,FC,VH,4,A,49.6,150,48.6,175,51.5,298,50.7,228,85.0,189.0,23.7,478.0,50.7,2019,2.689102585146361,0.1553118722803233,red
ABERYSTWYTH UNIVERSITY,United Kingdom,52.415089,-4.083116,432,490,M,CO,VH,5,A,10.7,501,6.6,501,33.8,452,45.0,281,66.5,256.0,48.3,297.0,26.5,2019,0.3353764143871506,0.2796013374600505,blue
ABO AKADEMI UNIVERSITY,Finland,60.452331524,22.273832238,540,600,M,CO,VH,5,A,0.0,0,0.0,0,44.3,348,29.5,438,40.7,375.0,21.7,500.0,22.5,2019,-0.7046762509774184,-0.4576775919639878,blue
ABU DHABI UNIVERSITY,United Arab Emirates,24.466667,54.366669,750,800,S,FO,HI,2,C,0.0,0,0.0,0,0.0,0,0.0,0,100.0,3.0,100.0,10.0,17.1,2019,-1.34701807745672,3.945988474744138,blue
ADAM MICKIEWICZ UNIVERSITY,Poland,52.409538,16.931992,1000,1000,XL,CO,HI,4,A,0.0,0,0.0,0,23.5,596,0.0,0,0.0,0.0,0.0,0.0,14.2,2019,-2.9419263878853408,-0.4284667138662906,blue
AGH UNIVERSITY OF SCIENCE AND TECHNOLOGY,Poland,50.0587164318,19.920912983,1000,1000,L,CO,VH,5,A,0.0,0,0.0,0,35.0,435,0.0,0,,0.0,0.0,0.0,14.2,2019,-2.4797474941096835,-0.5611922667748156,blue
AIN SHAMS UNIVERSITY,Egypt,30.075808,30.075808,750,750,XL,FC,HI,4,A,0.0,0,35.8,263,0.0,0,0.0,0,23.5,500.0,0.0,0.0,17.1,2019,-1.852349372812142,-0.1277755657965943,blue
AIRLANGGA UNIVERSITY,Indonesia,-7.250445,112.768845,800,750,L,FC,MD,4,A,17.0,480,0.0,0,26.1,553,0.0,0,0.0,0.0,0.0,0.0,15.3,2019,-2.120259629166593,-0.6725178764754911,blue
AJMAN UNIVERSITY,United Arab Emirates,25.412296,55.506576,1000,1000,M,CO,MD,3,C,0.0,0,0.0,0,0.0,0,0.0,0,100.0,5.0,100.0,6.0,14.2,2019,-1.820081663376799,3.43931215817848,blue
