Institution,Country,Latitude,Longitude
BOĞAZIÇI ÜNIVERSITESI,Turkey,41.083556,29.050598
BRANDEIS UNIVERSITY,United States,42.3657,-71.2597
BRIGHAM YOUNG UNIVERSITY,United States,40.25,-111.65
BRNO UNIVERSITY OF TECHNOLOGY,Czech Republic,49.2009241963,16.6021660913
BROWN UNIVERSITY,United States,41.82682,-71.402931
BRUNEL UNIVERSITY,United Kingdom,51.5263,-0.4703
BUDAPEST UNIVERSITY OF TECHNOLOGY AND ECONOMICS,Hungary,47.475498098,19.05333312
CAIRO UNIVERSITY,Egypt,30.0276,31.21014
CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH),United States,34.138,-118.125
CANTERBURY CHRIST CHURCH UNIVERSITY,United Kingdom,51.2745,1.0868
CARDIFF UNIVERSITY,United Kingdom,51.481583,-3.17909
CARLETON UNIVERSITY,Canada,45.3831,-75.6976
CARNEGIE MELLON UNIVERSITY,United States,40.443322,-79.943583
CASE WESTERN RESERVE UNIVERSITY,United States,41.5042,-81.6085
CENTRAL EUROPEAN UNIVERSITY,Hungary,47.497913,19.040236
CENTRAL QUEENSLAND UNIVERSITY,Australia,-23.3175,150.5177
CENTRAL QUEENSLAND UNIVERSITY ,Australia,-23.3175,150.5177
CENTRAL SOUTH UNIVERSITY,China,28.173,112.925
CENTRALESUPÉLEC,France,48.701801,2.1339
CHALMERS UNIVERSITY OF TECHNOLOGY,Sweden,57.6863,11.9727
CHANG GUNG UNIVERSITY,Taiwan,25.055401,121.549599
CHARLES DARWIN UNIVERSITY,Australia,-12.3705,130.8835
CHARLES DARWIN UNIVERSITY ,Australia,-12.3705,130.8835
CHARLES STURT UNIVERSITY,Australia,-33.8738,151.2083
CHARLES STURT UNIVERSITY ,Australia,-33.8738,151.2083
CHARLES UNIVERSITY,Czech Republic,50.0884,14.4037
CHIANG MAI UNIVERSITY,Thailand,18.8026,98.9516
CHIBA UNIVERSITY,Japan,35.6253324987,140.091316301
CHINA AGRICULTURAL UNIVERSITY,China,40.001499994,116.35166526
CHINA AGRICULTURAL UNIVERSITY ,China,40.001499994,116.35166526
CHONBUK NATIONAL UNIVERSITY,South Korea,36.629,127.457
CHONGQING UNIVERSITY,China,29.439325,106.887703
CHONNAM NATIONAL UNIVERSITY,South Korea,35.166668,126.916664
CHRISTIAN-ALBRECHTS-UNIVERSITÄT ZU KIEL,Germany,54.33666532,10.120166186
CHULALONGKORN UNIVERSITY,Thailand,13.7383,100.5324
CHUNG-ANG UNIVERSITY,South Korea,37.5326,127.024612
CHUNG-ANG UNIVERSITY ,South Korea,37.5326,127.024612
CHUNGNAM NATIONAL UNIVERSITY,South Korea,36.351002,127.385002
CITY UNIVERSITY LONDON,United Kingdom,51.50853,-0.12574
CITY UNIVERSITY OF HONG KONG,Hong Kong,22.3351853259,114.170459318
CITY UNIVERSITY OF NEW YORK,United States,40.8209339,-73.9529155
"CITY, UNIVERSITY OF LONDON",United Kingdom,51.5272532264037,-0.102795319321218
CLARK UNIVERSITY,United States,42.251,-71.8232
CLARKSON UNIVERSITY,United States,44.6635,-74.9991
CLEMSON UNIVERSITY,United States,34.683437,-82.837364
COLLEGE OF WILLIAM & MARY,United States,37.2711,-76.7075
COLORADO STATE UNIVERSITY,United States,40.5749825,-105.0847257
COLUMBIA UNIVERSITY,United States,40.8045,-73.9572
COMENIUS UNIVERSITY IN BRATISLAVA,Slovakia,48.1524,17.0703
COMSATS INSTITUTE OF INFORMATION TECHNOLOGY,Pakistan,33.651592,73.156456
CONCORDIA UNIVERSITY,Canada,45.497406,-73.577102
COPENHAGEN BUSINESS SCHOOL,Denmark,55.6756389,12.563413
CORNELL UNIVERSITY,United States,42.4485,-76.4786
CORVINUS UNIVERSITY OF BUDAPEST,Hungary,47.48499806,19.054833114
COVENTRY UNIVERSITY,United Kingdom,52.408054,-1.510556
CRACOW UNIVERSITY OF TECHNOLOGY,Poland,50.071667,19.944167
CRANFIELD UNIVERSITY,United Kingdom,52.0707,-0.6233
CUKUROVA UNIVERSITY,Turkey,37.054333116,35.353498586
CURTIN UNIVERSITY,Australia,-32.0047,155.8941
CZECH TECHNICAL UNIVERSITY IN PRAGUE,Czech Republic,50.1013,14.3864
CZECH UNIVERSITY OF LIFE SCIENCES IN PRAGUE,Czech Republic,50.1348661272,14.3691318568
DALHOUSIE UNIVERSITY,Canada,44.6370765,-63.590612
DALIAN UNIVERSITY OF TECHNOLOGY,China,38.878305,121.524153
DANKOOK UNIVERSITY,South Korea,37.321547,127.1266985
